Site▲▼,98/99▲▼,99/00▲▼,00/01▲▼,01/02▲▼,02/03▲▼,03/04▲▼,04/05▲▼,05/06▲▼,06/07▲▼,07/08▲▼,08/09▲▼,09/10▲▼,10/11▲▼,11/12▲▼,12/13▲▼,13/14▲▼,14/15▲▼,15/16▲▼,16/17▲▼,17/18▲▼,Mon,Moving5yr avg▲▼,13/14-17/185yr avg▲▼
Morecambe Bay,38,99Standard visit under the WeBS Low Tide Count SurveyWeBS,94Standard visit under the WeBS Low Tide Count SurveyWeBS,68Standard visit under the WeBS Low Tide Count SurveyWeBS,89Standard visit under the WeBS Low Tide Count SurveyWeBS,56,74.0,65.0,65,129.0,236,278,205,263,463,375,282,334,624,512,Dec,425,425,2,2019-11-21 14:19:15
Alde Estuary,308,227,192,126Standard visit under the WeBS Low Tide Count SurveyWeBS,559,(257),293.0,530.0,276,613.0,365,563,390Standard visit under the WeBS Low Tide Count SurveyWeBS,"(1,074)",751,686,455,263,314,249,Mar,393,393,2,2019-11-21 14:19:15
Traeth Melynog,nan,nan,nan,nan,nan,117,146.0,262.0,nan,nan,351,190,238,216,446,307,392,441,325,346,Nov,362,362,2,2019-11-21 14:19:15
Climping,1,(5),1,3,61,0,208.0,524.0,30,258.0,215,35,0,1,225,0,1400,15,79,260,Nov,351,351,2,2019-11-21 14:19:15
Yar Estuary,165,214,289,72,109,142,272.0,304.0,246,186.0,159,507,420,376,274,423,321,246,547,213,Dec,350,350,2,2019-11-21 14:19:15
Taw-Torridge Estuary,172,201,233,150,157,(127),260.0,295.0,321,196.0,430,301,270,391,411,214,(556),290,321,187,Feb,314,314,2,2019-11-21 14:19:15
Kings Quay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,132,300,370,450,Nov,313,313,2,2019-11-21 14:19:15
Dee Estuary (England and Wales),22,14,48,32Standard visit under the WeBS Low Tide Count SurveyWeBS,25,66,121.0,138.0,104,201.0,175,130,214,262Supplementary visit under the WeBS Core Count SurveyWeBS,251,238,262,242,402,357,Dec,300,300,2,2019-11-21 14:19:15
Dee Estuary (English counties),11,8,35,25,25,66,121.0,138.0,104,177.0,172,130,214,212,249,238,262,242,402,357,Dec,300,300,2,2019-11-21 14:19:15
Inland Sea and Alaw Estuary,23,51,95,80,76,95,nan,nan,68Standard visit under the WeBS Low Tide Count SurveyWeBS,nan,174,209,227,265,333Standard visit under the WeBS Low Tide Count SurveyWeBS,245,254,211,288,362,Feb,272,272,2,2019-11-21 14:19:15
Cymyran Strait - Four Mile Bridge to Sea,nan,nan,nan,nan,nan,0,0.0,0.0,nan,16.0,0,204,182,238,326,136,212,275,337,343,Jan,261,261,2,2019-11-21 14:19:15
Ardivachar Point (South Uist),nan,0,0,nan,0,0,65.0,0.0,0,0.0,0,nan,0,5,(0),"1,276Supplementary visit under the WeBS Core Count SurveyWeBS",0,0,0,0,nan,255,255,2,2019-11-21 14:19:15
Foreland,118,165,196,142,165,190,78.0,172.0,97,90.0,(85),2,182,0,nan,nan,181,234,218,278,Dec,228,228,2,2019-11-21 14:19:15
Christchurch Harbour,nan,250,146,151,186,167,94.0,198.0,228,220.0,157,156,131,332,(230),293,276,234,171,146,Nov,224,224,2,2019-11-21 14:19:15
Medina Estuary,77,73,47,93,36,28,59.0,279.0,78,170.0,82,143Standard visit under the WeBS Low Tide Count SurveyWeBS,120,295,45,218,176,166,265,215,Feb,208,208,2,2019-11-21 14:19:15
Larne Lough,218,253,266,235,139,235,254.0,218.0,256,369.0,655,219,376,282,260,152,195,253,250,172,Jan,204,204,2,2019-11-21 14:19:15
Foryd Bay,42,41,11,43,22,102,139.0,83.0,120,209.0,295Supplementary visit under the WeBS Core Count SurveyWeBS,182,270,234,449,148,200,279,150,175,Mar,190,190,2,2019-11-21 14:19:15
Wootton Creek,40Standard visit under the WeBS Low Tide Count SurveyWeBS,220,15,nan,158,240,188.0,173.0,172,204.0,107,180,98,74,170,206,190,117,211,210,Dec,187,187,2,2019-11-21 14:19:15
Dungeness and Rye Bay,11,36,22,46,(13),13,7.0,18.0,195,180.0,14,77,248,149,397,174,38,102,18,589,Mar,184,184,2,2019-11-21 14:19:15
Kingsbridge Estuary,63,85,79,66,94,(100),81.0,127.0,129,138.0,99,125Standard visit under the WeBS Low Tide Count SurveyWeBS,115,131,128,174,211,158,(199),172,Feb,183,183,2,2019-11-21 14:19:15
Thorness Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,211,181,279,195,182,224,93,241,111,Nov,170,170,2,2019-11-21 14:19:15
Belfast Lough,32,21Standard visit under the WeBS Low Tide Count SurveyWeBS,40Standard visit under the WeBS Low Tide Count SurveyWeBS,62,48,44,61,91Standard visit under the WeBS Low Tide Count SurveyWeBS,59Standard visit under the WeBS Low Tide Count SurveyWeBS,108,165Standard visit under the WeBS Low Tide Count SurveyWeBS,109,145,136,133,124,129,121Standard visit under the WeBS Low Tide Count SurveyWeBS,146Standard visit under the WeBS Low Tide Count SurveyWeBS,149Standard visit under the WeBS Low Tide Count SurveyWeBS,Feb,134,134,3,2019-11-21 14:19:21
Loch Ryan,6,6,24,28Supplementary visit under the WeBS Core Count SurveyWeBS,25Supplementary visit under the WeBS Core Count SurveyWeBS,45,67,89,(37),52,52,167Supplementary visit under the WeBS Core Count SurveyWeBS,102,139,126,84,67,110,108,(243),Nov,122,122,3,2019-11-21 14:19:21
Wootton Millpond Upper Wootton Creek,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104,nan,nan,104,104,3,2019-11-21 14:19:21
Inner Moray and Beauly Firths,3,39,12,41,100,55,18,81,43,38,99,52,64,90,74,70,(66),(139),(84),(88),Feb,95,95,3,2019-11-21 14:19:21
Cleddau Estuary,(1),5,13,(4),(18),15,3,7,9,12,51,36,41,(48),33,58,39,79,86,90,Jan,70,70,3,2019-11-21 14:19:21
South Uist West Coast,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1,56,3,(268),(0),0,0,nan,nan,89,89,3,2019-11-21 14:19:21
Studland Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,198,130,180,22,48,nan,nan,127,Mar,66,66,3,2019-11-21 14:19:21
Cuckmere Estuary,9,0,2,3,0,0,0,5,8,8,0,3,1,6,6,5,14,10,7,282,Mar,64,64,3,2019-11-21 14:19:21
Broughton Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,20,105Supplementary visit under the WeBS Core Count SurveyWeBS,Jan,63,63,3,2019-11-21 14:19:21
Guernsey Shore,38,48,24,69,56,42,45,61,39,46,62,30,117,44,49,48,130,51,51,33,Mar,63,63,3,2019-11-21 14:19:21
Langness and Derbyhaven Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,71,52,Jan,62,62,3,2019-11-21 14:19:21
Alton Water,0,1,0,43,45,33,0,39,0,0,0,0,0,0,0,0,300,0,0,0,nan,60,60,3,2019-11-21 14:19:21
Breydon Water and Berney Marshes,6,12,14,8,4,10,18,14,59,2Supplementary roost count under the WeBS Core Count SurveyWeBS,1Standard visit under the WeBS Low Tide Count SurveyWeBS,114Supplementary visit under the WeBS Core Count SurveyWeBS,155Supplementary visit under the WeBS Core Count SurveyWeBS,411Supplementary visit under the WeBS Core Count SurveyWeBS,42Supplementary visit under the WeBS Core Count SurveyWeBS,35Supplementary visit under the WeBS Core Count SurveyWeBS,30Supplementary visit under the WeBS Core Count SurveyWeBS,39Supplementary visit under the WeBS Core Count SurveyWeBS,44Supplementary visit under the WeBS Core Count SurveyWeBS,128Supplementary visit under the WeBS Core Count SurveyWeBS,Mar,55,55,3,2019-11-21 14:19:21
Lavan Sands,10,(31),14,14,9,11,(24),11,15,24,28,54,24Standard visit under the WeBS Low Tide Count SurveyWeBS,97,(32),40,38,45,58,56,Jan,47,47,3,2019-11-21 14:19:21
Severn Estuary,5,(6),11Supplementary visit under the WeBS Core Count SurveyWeBS,2,11Standard visit under the WeBS Low Tide Count SurveyWeBS,4,(22),(9),8Supplementary visit under the WeBS Core Count SurveyWeBS,12,61,13,25,44,(33),43,24,48,63,27,Jan,41,41,3,2019-11-21 14:19:21
Severn Estuary (English counties),5,(3),(5),2,2,4,(21),7,5,12,61,13,25,39,(33),43,24,48,63,27,Jan,41,41,3,2019-11-21 14:19:21
Broadford Bay,nan,nan,nan,(0),0,1,22,18,0,(0),122,0,0,0,(0),(0),2,(0),70Supplementary visit under the WeBS Core Count SurveyWeBS,nan,nan,36,36,3,2019-11-21 14:19:21
Wigtown Bay,0,1,0,0,0,4,(0),0,4,2,0,8,10,31,29,26,15,55,56,26,Dec,36,36,3,2019-11-21 14:19:21
Carmarthen Bay,1,0,5,0,0,(4),1,35,(32),12,0,39,36,76,200Standard visit under the WeBS Low Tide Count SurveyWeBS,93Standard visit under the WeBS Low Tide Count SurveyWeBS,48,7,5,1,Feb,31,31,3,2019-11-21 14:19:21
Eden Estuary,10,7,9,(4),(30),15,9,27,18,70,29Standard visit under the WeBS Low Tide Count SurveyWeBS,43,43,42,53,32,16,27,29,43Standard visit under the WeBS Low Tide Count SurveyWeBS,Dec,29,29,3,2019-11-21 14:19:21
Milton Pools,0,0,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,(0),140,71,19,34,44,43,0,nan,28,28,3,2019-11-21 14:19:21
Rigg Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,24,nan,nan,24,24,3,2019-11-21 14:19:21
Traeth Dulas,nan,nan,nan,0,0,0,1,0,0,0,0,0,0,0,0,10,24,48,34,4,Jan,24,24,3,2019-11-21 14:19:21
Inner Loch Indaal,2,15,15,0,0,0,nan,nan,nan,nan,nan,45,69,(28),4,9,22,(18),(44),19,Dec,22,22,3,2019-11-21 14:19:21
Otter Estuary,10,17,9,12,11,20,13,23,21,3,1,15,18,18,11,4,42,28,14,24,Feb,22,22,3,2019-11-21 14:19:21
Seahouses to Budle Point,(22),9,2,70,0,(0),23,48,18,0,0,22,110,12,(0),28,12,0,48,(0),nan,22,22,3,2019-11-21 14:19:21
Tamar Complex,1,1,13,4,1Standard visit under the WeBS Low Tide Count SurveyWeBS,0,23,20,20,19,30,20,61,54,29,28,33,19,15,14,Jan,22,22,3,2019-11-21 14:19:21
Castletown Bay West and Scarlett Quarry,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,nan,nan,nan,nan,nan,21,nan,nan,21,21,3,2019-11-21 14:19:21
Derbyhaven Bay,nan,nan,nan,nan,nan,nan,40,0,nan,nan,0,23,nan,nan,nan,nan,nan,27,17,18,Mar,21,21,3,2019-11-21 14:19:21
Forth Estuary,2,2,5,14,8,0,2,1,1,6,(11),8,2,8,15,20,3,6,52,2,Oct,17,17,3,2019-11-21 14:19:21
Newhaven,1,1,1,0,0,1,0.0,1,1,0,0,1,0,1,0,(80),(1),1,1,0,nan,17,17,4,2019-11-21 14:19:26
Cromarty Firth,0,0,0,0,1,6,0.0,0,1,(3),28,(2),6,21,19,(15),19Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,15,12Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,10,Oct,14,14,4,2019-11-21 14:19:26
Loch Gruinart,107,46,60,nan,2,0,284.0,76,1,1,1,0,300,100,6,0,31,27,12,1,Sep,14,14,4,2019-11-21 14:19:26
"Sovereign Harbour, Langney",nan,nan,1,0,0,20,nan,0,1,1,0,nan,nan,nan,nan,nan,nan,25,nan,2,Jan,14,14,4,2019-11-21 14:19:26
Herne Bay,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,12,Nov,12,12,4,2019-11-21 14:19:26
Port Eynon Point,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22,2,11,7,Feb,11,11,4,2019-11-21 14:19:26
Traeth Coch,0,0,0,nan,nan,nan,nan,nan,nan,(0),(6),nan,nan,nan,nan,nan,9,18,6,(11),Oct,11,11,4,2019-11-21 14:19:26
Dyfi Estuary,1,0,3,0,5,3,0.0,1,1,0,1Standard visit under the WeBS Low Tide Count SurveyWeBS,7,2,12,1,5,13,9,6,11,Nov,9,9,4,2019-11-21 14:19:26
Maidens Harbour,2,2,0,2,0,2,4.0,4,6,7,5,6,5,13,14,14,8,0,15,(0),nan,9,9,4,2019-11-21 14:19:26
Killough Harbour,nan,nan,nan,489Standard visit under the WeBS Low Tide Count SurveyWeBS,472,383,434.0,516,562Standard visit under the WeBS Low Tide Count SurveyWeBS,254Standard visit under the WeBS Low Tide Count SurveyWeBS,256Standard visit under the WeBS Low Tide Count SurveyWeBS,nan,nan,nan,69,16,0,nan,nan,nan,nan,8,8,4,2019-11-21 14:19:26
Minsmere,3,0,36,1,8,6,4.0,3,2,5Supplementary visit under the WeBS Core Count SurveyWeBS,0,3,1,1,1,6,30,1,0,1,Apr,8,8,4,2019-11-21 14:19:26
Beadnell to Seahouses,0,1,(0),88,3,0,0.0,2,0,1,12,(38),140,12,12,5,(9),0,19,0,nan,7,7,4,2019-11-21 14:19:26
Dee Estuary (Welsh counties),11,8,40,0,0,20,0.0,5,0,24,42,6,0,3,2,6,0,0,15,13,Nov,7,7,4,2019-11-21 14:19:26
Dingle Marshes and Walberswick National Nature Reserve,nan,0,2,6,4,2,0.0,1,0,8,0,1,0,0,0,2,18,0,0,9,Nov,6,6,4,2019-11-21 14:19:26
Montrose Basin,0,6,1Supplementary roost count under the WeBS Core Count SurveyWeBS,5,4,6,0.0,22Standard visit under the WeBS Low Tide Count SurveyWeBS,1,0,4Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,9,11Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,0,24,13Icelandic-breeding Goose CensusWildfowl and Wetlands Trust,0,0,15,0,nan,6,6,4,2019-11-21 14:19:26
Tees Estuary,1,2,1,1,6,20,6.0,12,3,5,12,30,6,16,2,6,9,3,9,4,Nov,6,6,4,2019-11-21 14:19:26
Chichester Canal,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,20,(0),0,0,nan,5,5,4,2019-11-21 14:19:26
Durham Coast,0,(0),0,(0),0,(0),0.0,0,1,0,(0),(0),4,3,10,0,8,10,6,1,Nov,5,5,4,2019-11-21 14:19:26
East Barns to Dunglass,nan,nan,nan,nan,nan,nan,nan,nan,0,0,0,22,0,0,0,0,18,0,0,0,nan,4,4,4,2019-11-21 14:19:26
Fort Island to Sandwick Beach,nan,nan,nan,nan,nan,nan,0.0,0,nan,nan,0,0,nan,nan,nan,nan,13Supplementary visit under the WeBS Core Count SurveyWeBS,nan,0,0,nan,4,4,4,2019-11-21 14:19:26
Heigham Holmes,0,1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,2,12,Dec,4,4,4,2019-11-21 14:19:26
Kentraugh to Gansey,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8,0,nan,4,4,4,2019-11-21 14:19:26
Montrose to St Cyrus,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,15,1,0,nan,0,nan,4,4,4,2019-11-21 14:19:26
Adur Estuary,(0),(1),2,1,1Standard visit under the WeBS Low Tide Count SurveyWeBS,0,2.0,2Standard visit under the WeBS Low Tide Count SurveyWeBS,1Standard visit under the WeBS Low Tide Count SurveyWeBS,1Standard visit under the WeBS Low Tide Count SurveyWeBS,0,0,0,1,12,0,11,(2),0,1,Jan,3,3,4,2019-11-21 14:19:26
Alnmouth to Boulmer,0,0,4,6,10,5,4.0,6,3,0,0,1,(80),2,45,2,2,3,(5),(0),nan,3,3,4,2019-11-21 14:19:26
Boulmer to Howick,(0),1,0,0,0,3,3.0,1,2,0,1,12,(119),10,0,8,1,1,0,(0),nan,3,3,4,2019-11-21 14:19:26
Glyne Gap,(0),0,6,0,12,3,0.0,12,(55),10,7Supplementary roost count under the WeBS Core Count SurveyWeBS,2,(5),(0),(0),(11),(0),(0),nan,0,nan,6,6,4,2019-11-21 14:19:26
Lossie Estuary,1,0,2,0,0,6,0.0,0,1,0,28,2,0,0,3,0,7,9,0,0,nan,3,3,4,2019-11-21 14:19:26
Porter Brook - Sheffield,nan,0,0,0,nan,0,0.0,(0),nan,nan,nan,nan,nan,nan,0,(5),nan,nan,nan,0,nan,3,3,4,2019-11-21 14:19:26
Queen Mary Reservoir,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,17,Apr,3,3,4,2019-11-21 14:19:26
Brighton Marina,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0.0,2Supplementary visit under the WeBS Core Count SurveyWeBS,0.0,5,Nov,2,2,5,2019-11-21 14:19:32
